Fecha,PIB,Desempleo,Inflacion
2010-12-31,5.51,11.385714285714286,2.4528571428571433
2011-12-31,6.44,11.068333333333333,3.4149999999999996
2012-12-31,2.81,10.628333333333334,3.170833333333333
2013-12-31,6.44,9.909166666666666,2.018333333333333
2014-12-31,3.75,9.408333333333333,2.8975000000000004
2015-12-31,2.05,9.1975,4.984166666666667
2016-12-31,2.34,9.545,7.523333333333333
2017-12-31,1.42,9.675833333333333,4.321666666666666
2018-12-31,2.95,9.966666666666667,3.2425
2019-12-31,3.12,10.887500000000001,3.518333333333333
2020-12-31,-3.25,16.6675,2.535
2021-12-31,11.13,13.810833333333333,3.4941666666666666
2022-12-31,2.1,11.218333333333334,10.150833333333333
2023-12-31,0.55,10.164166666666667,11.774166666666666
2024-12-31,2.53,10.165833333333333,6.629166666666666
2025-12-31,2.53,9.66,5.1033333333333335
